parent_node,username,connection_type
fauorientation,keshin_martin,unknown
fauorientation,justin.xie.88,unknown
fauorientation,thatzac22,unknown
fauorientation,winning_pooh,unknown
fauorientation,mariadacampos,unknown
fauorientation,devinneguz,unknown
fauorientation,michaella_louis,unknown
fauorientation,justin.xie.88,unknown
fauorientation,fauchisigmaalpha,unknown
fauorientation,mariadacampos,unknown
fauorientation,michaella_louis,unknown
fauorientation,uofsc_onso,unknown
fauorientation,katiegburke_,unknown
fauorientation,jo_dipentima,unknown
fauorientation,hajra0oo,unknown
fauorientation,austencanonica,unknown
fauorientation,this_guy_evan,unknown
fauorientation,faufslife,unknown
