parent_node,username,connection_type
feistyfrank,denalisbanksv,ROOT
rhymeswithbeg,feistyfrank,ROOT
livskarma,rhymeswithbeg,ROOT
denalisbanksv,livskarma,ROOT
misschloeyork,denalisbanksv,ROOT
taycesmalls,misschloeyork,ROOT
jenn_pooches,taycesmalls,ROOT
denalisbanksv,jenn_pooches,ROOT
inlovelemon,denalisbanksv,ROOT
joeynolfi,inlovelemon,ROOT
SouthernHomo,joeynolfi,ROOT
moodynali,SouthernHomo,ROOT
taycesmalls,moodynali,ROOT
jenn_pooches,taycesmalls,ROOT
denalisbanksv,jenn_pooches,ROOT
inlovelemon,denalisbanksv,ROOT
joeynolfi,inlovelemon,ROOT
SouthernHomo,joeynolfi,ROOT
moodynali,SouthernHomo,ROOT
jenn_pooches,moodynali,ROOT
WorldOfWonder,jenn_pooches,ROOT
JackieCoxNYC,WorldOfWonder,ROOT
jaidasbae,JackieCoxNYC,ROOT
WorldOfWonder,jaidasbae,ROOT
RuPaulsDragRace,WorldOfWonder,ROOT
jaidaehall,RuPaulsDragRace,ROOT
misschloeyork,jaidaehall,ROOT
jaidaehall,misschloeyork,ROOT
RuPaulsDragRace,jaidaehall,ROOT
Freduccini,RuPaulsDragRace,ROOT
Iindaquaria,Freduccini,ROOT
Fiddies2,Iindaquaria,ROOT
markanthony913,Fiddies2,ROOT
__ronielle,markanthony913,ROOT
ohmygottaste,__ronielle,ROOT
omgheylily,ohmygottaste,ROOT
wiz_thcreator,omgheylily,ROOT
PopCrave,wiz_thcreator,ROOT
ChangoATX,PopCrave,ROOT
WorldOfWonder,ChangoATX,ROOT
RuPaulsDragRace,WorldOfWonder,ROOT
RuPaulsDragRace,RuPaulsDragRace,ROOT
inlovelemon,RuPaulsDragRace,ROOT
getjazted,inlovelemon,ROOT
livskarma,getjazted,ROOT
RuPaulsDragRace,livskarma,ROOT
sethspov,RuPaulsDragRace,ROOT
MissLaLaRi,sethspov,ROOT
evanicci_,MissLaLaRi,ROOT
omgheylily,evanicci_,ROOT
Sequins4Thought,omgheylily,ROOT
inlovelemon,Sequins4Thought,ROOT
jaidaehall,inlovelemon,ROOT
