parent_node,username,connection_type
FAU_Owls_Nest,FAU_Owls_Nest,ROOT
FQFAU,FQFAU,ROOT
DMoultry_2,DMoultry_2,ROOT
KendallRogers,KendallRogers,ROOT
TheNoahGoldberg,TheNoahGoldberg,ROOT
Johns_voice,Johns_voice,ROOT
FAU_Owls_Nest,FAU_Owls_Nest,ROOT
BMack764,BMack764,ROOT
AlomaishiSuhad,AlomaishiSuhad,ROOT
FAU_TL,FAU_TL,ROOT
FloridaAtlantic,FloridaAtlantic,ROOT
FQFAU,FQFAU,ROOT
buknightsWBB,buknightsWBB,ROOT
JeredGoodwin3,JeredGoodwin3,ROOT
FAU_TL,FAU_TL,ROOT
prathmeshmadhu,prathmeshmadhu,ROOT
MarkNoll18,MarkNoll18,ROOT
burnerboysports,burnerboysports,ROOT
FelixVarelaHS,FelixVarelaHS,ROOT
Ayden_Maher,Ayden_Maher,ROOT
DrRemeis,DrRemeis,ROOT
Florida_Owl,Florida_Owl,ROOT
thatguycolbs,thatguycolbs,ROOT
Florida_Owl,Florida_Owl,ROOT
A_Duffell,A_Duffell,ROOT
AshaiKeazia,AshaiKeazia,ROOT
KingTalanoa,KingTalanoa,ROOT
